,日付,始値,高値,安値,終値,売買高,修正後終値
0,7/6（月）,6805,6859,6768,6859,4135000,6859.0
1,7/3（金）,6776,6790,6713,6761,3843700,6761.0
2,7/2（木）,6671,6821,6662,6777,5674100,6777.0
3,7/1（水）,6760,6775,6643,6656,5028200,6656.0
4,6/30（火）,6870,6878,6750,6762,4788700,6762.0
5,6/29（月）,6780,6807,6737,6759,5100800,6759.0
6,6/26（金）,6823,6904,6821,6868,4702400,6868.0
7,6/25（木）,6877,6888,6793,6795,5982900,6795.0
8,6/24（水）,6896,7012,6895,6977,5210200,6977.0
9,6/23（火）,6882,6969,6827,6896,5140000,6896.0
10,6/22（月）,6799,6870,6780,6818,2826600,6818.0
11,6/19（金）,6908,6912,6825,6851,5820300,6851.0
12,6/18（木）,6880,6940,6843,6887,3505100,6887.0
13,6/17（水）,7000,7005,6905,6944,4736800,6944.0
14,6/16（火）,6880,7057,6843,7021,7290400,7021.0
15,6/15（月）,6820,6895,6700,6700,4304800,6700.0
16,6/12（金）,6742,6891,6703,6853,7316300,6853.0
17,6/11（木）,6944,7057,6905,6905,5957200,6905.0
18,6/10（水）,7061,7140,7011,7094,4770800,7094.0
19,6/9（火）,7100,7129,7020,7121,5846500,7121.0
20,6/8（月）,7160,7174,7106,7167,6342100,7167.0
21,6/5（金）,6946,7067,6940,7067,5365100,7067.0
22,6/4（木）,7007,7100,6933,6974,7860000,6974.0
23,6/3（水）,6900,6937,6860,6915,6444300,6915.0
24,6/2（火）,6785,6865,6768,6774,5962700,6774.0

